851,2101,1615,196,668,2196,775,586,1078,1175,512,1028,645,9999999,513,509,1136,909,1009,1929,1194,2379,419,165,1787,323,377,1412,467,1184,2407,118,370,608,1422,609
1210,2372,1919,516,1001,2442,1102,873,1280,1418,955,1398,269,524,9999999,759,1146,1399,1311,2170,1428,2617,79,287,2039,310,680,1564,664,1553,2738,407,99,894,1569,1003
723,1779,1170,592,815,1664,406,377,543,649,370,1104,750,631,866,9999999,499,841,652,1371,782,1895,694,658,1243,682,724,937,213,1047,2019,544,735,791,814,500
1005,1475,715,1122,970,1208,508,618,304,615,716,999,1175,1107,1206,542,9999999,984,461,1106,460,1480,1125,1128,1115,1054,1132,571,755,708,1546,1033,1198,987,545,798
404,1421,1059,1025,534,1663,616,660,745,742,683,328,1491,904,1452,882,921,9999999,559,1624,718,1903,1280,1053,978,1282,710,1140,809,557,2124,984,1278,702,1022,491
546,1189,718,1034,682,1314,251,504,225,264,593,685,1412,863,1312,570,521,614,9999999,1221,414,1559,1246,970,860,1134,868,724,662,436,1807,986,1162,706,620,469
1695,962,621,1923,1749,352,1256,1480,1015,1106,1502,1646,2199,1954,2105,1419,1063,1542,1227,9999999,875,798,2153,1991,950,1929,1892,683,1620,1115,725,1886,2083,1857,766,1520
952,1029,451,1250,833,1110,524,581,184,228,691,923,1568,1237,1419,765,423,873,429,1023,9999999,1310,1350,1283,719,1235,1158,538,901,518,1452,1060,1373,1166,461,645
2061,722,813,2414,2162,487,1606,1867,1419,1350,1900,1728,2730,2455,2548,1965,1542,1732,1654,755,1299,9999999,2571,2564,831,2422,2357,1210,2057,1254,464,2359,2669,2163,1071,1856
1173,2364,1912,530,1011,2335,1125,907,1166,1454,860,1547,298,463,75,661,1197,1362,1227,2108,1302,2550,9999999,381,2018,248,661,1602,780,1547,2606,420,191,880,1573,1000
872,2158,1739,278,833,2234,799,677,1120,1245,559,1161,484,163,337,574,1169,1163,970,2001,1196,2375,300,9999999,1849,265,508,1383,470,1421,2587,298,224,586,1380,880
1284,503,375,1736,1243,911,1052,1170,836,658,1334,1037,1998,1731,2002,1427,1041,1120,857,969,674,971,1966,1800,9999999,1785,1630,936,1323,562,1243,1670,2000,1464,791,1188
1099,2354,1734,418,934,2189,1030,752,1046,1218,717,1360,411,417,261,556,1122,1145,1085,1986,1225,2534,255,247,1956,9999999,596,1445,581,1540,2501,244,146,896,1491,946
672,1921,1537,394,425,2053,849,589,973,1137,388,847,886,350,613,693,1076,778,791,1943,1066,2367,690,390,1561,612,9999999,1467,530,1124,2558,369,690,287,1441,455
1387,1277,545,1455,1281,883,765,950,675,770,1139,1245,1543,1437,1541,853,570,1325,824,534,657,1287,1625,1490,863,1468,1542,9999999,1015,891,1183,1448,1554,1406,266,1142
747,1668,1183,500,525,1896,400,251,636,742,322,812,931,385,692,236,727,855,678,1643,847,1988,774,490,1324,685,411,1093,9999999,1028,2141,469,655,532,1049,427
702,1023,644,1272,824,1280,575,723,604,352,820,695,1665,1366,1642,867,806,648,542,1173,567,1316,1504,1408,601,1556,1093,826,937,9999999,1521,1187,1466,964,764,617
2318,1080,1131,2633,2298,516,1836,2047,1595,1561,2094,2137,2690,2509,2644,1942,1545,1967,1716,700,1385,594,2612,2552,1137,2467,2474,1260,2162,1513,9999999,2468,2699,2387,1201,2007
789,2177,1629,179,754,2061,841,687,957,1116,621,1236,636,263,374,506,985,1055,927,1804,1104,2429,390,232,1693,296,499,1359,448,1361,2370,9999999,353,488,1394,800
1154,2403,1817,340,1014,2320,1146,874,1232,1392,791,1398,350,419,151,739,1116,1282,1204,2209,1436,2570,289,240,1959,237,591,1666,726,1490,2732,312,9999999,855,1610,1063
514,1895,1531,492,290,2007,671,615,962,939,389,708,1052,549,850,682,1173,592,708,1878,1139,2305,1015,636,1528,843,313,1391,469,1078,2343,529,887,9999999,1286,361
1232,1141,534,1372,1153,879,678,862,390,611,949,1157,1610,1385,1532,829,382,1057,770,734,483,1183,1580,1504,754,1350,1357,255,1001,641,1214,1312,1653,1420,9999999,1030
262,1623,1050,682,237,1775,342,439,636,698,196,638,1092,683,1125,578,695,364,487,1644,667,1815,1011,842,1238,1022,543,1179,456,771,2058,795,910,449,1058,9999999
